Empresa;Activos;Ingresos;Utilidad Neta
Accesorios y sistemas s.a en reorganizacion;23.864.914;16.969.972;31.412
No encontrado;23.864.914;16.969.972;31.412
Julantar sas;45.639.747;487.034;5.926.987
No encontrado;45.639.747;487.034;5.926.987
Analisis tecnicos ltda;28.691.472;20.003.293;961.949
No encontrado;28.691.472;20.003.293;961.949
Surtiminas sas;47.720.403;33.251.262;2.475.012
No encontrado;47.720.403;33.251.262;2.475.012
Hortitec colombia sas;8.311.976;21.617.727;780.543
No encontrado;8.311.976;21.617.727;780.543
Colombiana de vehículos s.a.s.;23.566.574;200.568;79.629
No encontrado;23.566.574;200.568;79.629
Marvilla sa;4.061.407;2.935.754;328.928
No encontrado;4.061.407;2.935.754;328.928
No encontrado;No encontrado;No encontrado;No encontrado
Metalteco sas;91.891.453;64.959.119;11.072.481
No encontrado;91.891.453;64.959.119;11.072.481
Proasistemas s.a.;20.754.942;18.998.599;2.438.985
No encontrado;20.754.942;18.998.599;2.438.985
Sociedad de negocios san agustin ltda.;4.961.507;147.250;71.009
No encontrado;4.961.507;147.250;71.009
Ingenieria, suministros y representaciones de colombia sociedad por acciones simplificada;68.913.605;59.326.058;5.960.227
No encontrado;68.913.605;59.326.058;5.960.227
Procesadora de cereales de colombia s.a.s;7.054.681;1.120.186;164.853
No encontrado;7.054.681;1.120.186;164.853
Del llano s,a;15.494.157;15.157.495;426.279
No encontrado;15.494.157;15.157.495;426.279
Colombiana de productos del agro colpagro sas;13.987.440;31.619.946;1.800.142
No encontrado;13.987.440;31.619.946;1.800.142
Industrias taufik s.a.s.;7.071.610;4.496.509;318.232
No encontrado;7.071.610;4.496.509;318.232
Inversiones arme sas;11.993.728;1.444.930;712.901
No encontrado;11.993.728;1.444.930;712.901
Serfinco ltda;4.925.795;228.488;59.744
No encontrado;4.925.795;228.488;59.744
No encontrado;No encontrado;No encontrado;No encontrado
Servicios de dragados y construcciones sas;32.758.638;16.176.169;1.594.750
No encontrado;32.758.638;16.176.169;1.594.750
Plasticos salfer sas;39.933.512;89.609.598;2.394.204
No encontrado;39.933.512;89.609.598;2.394.204
Distribuidora tropical de bolivar s.a.s.;62.108.404;66.822.634;8.125.026
No encontrado;62.108.404;66.822.634;8.125.026
